id,module_code,dept_id,department_id,name,gender,age,id_number,phone
DOC10000001,MSDATA,0000,ID1000,高芳,男,41,77310425321500,16283213343
DOC10000002,MSDATA,0000,ID1000,赵敏,男,37,99411977028530,18267187015
DOC10000003,MSDATA,0000,ID1000,郭勇,女,39,42190034980873,13919782858
DOC10000004,MSDATA,0000,ID1000,杨鹏,女,27,16451322080987,13362873278
DOC10000005,MSDATA,0000,ID1000,高洋,女,55,76512460859599,14791749898
DOC10000006,MSDATA,0000,ID1000,周艳芳,女,40,36581848591580,19393782831
DOC10000007,MSDATA,0000,ID1000,沈磊,女,27,63887379873651,14265751831
DOC10000008,MSDATA,0000,ID1000,马艳丽,女,43,95298542235634,16289534494
DOC10000009,MSDATA,0000,ID1000,黄利,女,57,55085928146706,17511993348
DOC10000010,MSDATA,0000,ID1000,黄杰,女,58,83167698350307,13436614630
DOC10000011,MSDATA,0000,ID1000,周强,男,51,15881752861165,13904927357
DOC10000012,MSDATA,0000,ID1000,韩敏,男,56,24835723700810,15205435709
DOC10000013,MSDATA,0000,ID1000,刘宇,女,27,40515131543053,18626201740
DOC10000014,MSDATA,0000,ID1000,周杰,女,52,87193871736644,13853436952
DOC10000015,MSDATA,0000,ID1000,杨艳丽,女,54,92116665822596,19607920006
DOC10000016,MSDATA,0000,ID1000,冯红,女,58,67589269654340,16738633717
DOC10000017,MSDATA,0000,ID1000,郭涛,女,46,46325511598133,14528527757
DOC10000018,MSDATA,0000,ID1000,周丽娟,女,34,77661574266881,16671264395
DOC10000019,MSDATA,0000,ID1000,赵明,男,43,30849246422463,13882097929
DOC10000020,MSDATA,0000,ID1000,赵飞,男,49,20449782283532,19390855873
DOC10000021,MSDATA,0000,ID1000,杨娟,男,29,53753266691986,16361146114
DOC10000022,MSDATA,0000,ID1000,陈杰,女,41,38314448012564,16368610170
DOC10000023,MSDATA,0000,ID1000,赵敏,男,43,12444218932676,17535091932
DOC10000024,MSDATA,0000,ID1000,沈艳红,男,59,36528018630053,14281688360
DOC10000025,MSDATA,0000,ID1000,马建华,女,29,78196942253471,15706506003
DOC10000026,MSDATA,0000,ID1000,冯志强,女,36,11221788473990,17364996658
DOC10000027,MSDATA,0000,ID1000,赵丽娟,女,40,55286051084495,17404081435
DOC10000028,MSDATA,0000,ID1000,杨建国,女,40,58370160122864,19303839875
DOC10000029,MSDATA,0000,ID1000,刘慧,女,30,78114854213114,13820061264
DOC10000030,MSDATA,0000,ID1000,李艳红,女,55,23405162260315,16114317538
DOC10000031,MSDATA,0000,ID1000,刘明,男,53,40104477562025,15863168998
DOC10000032,MSDATA,0000,ID1000,李江,男,58,83334184598376,16470925422
DOC10000033,MSDATA,0000,ID1000,郭峰,男,27,72932825765455,16754364495
DOC10000034,MSDATA,0000,ID1000,赵桂英,男,40,69009754864668,14478231869
DOC10000035,MSDATA,0000,ID1000,刘江,女,57,88609393192692,15597241853
DOC10000036,MSDATA,0000,ID1000,刘利,男,43,50595858830720,15971583554
DOC10000037,MSDATA,0000,ID1000,唐俊,女,55,35383220261732,14870063808
DOC10000038,MSDATA,0000,ID1000,张志强,女,30,88697361415480,19133566070
DOC10000039,MSDATA,0000,ID1000,王浩,男,34,69469469048571,14381162345
DOC10010001,MSDATA,0000,ID1001,陈丹,女,25,81949081026789,14825278518
DOC10010002,MSDATA,0000,ID1001,冯鹏,女,56,31346078473775,16183873974
DOC10010003,MSDATA,0000,ID1001,赵利,男,45,80073434646397,14101606275
DOC10010004,MSDATA,0000,ID1001,马俊,男,60,38770682664967,18567194117
DOC10010005,MSDATA,0000,ID1001,马伟,男,32,98466724313582,17166286245
DOC10010006,MSDATA,0000,ID1001,李鹏,女,38,70681998703165,19142182459
DOC10010007,MSDATA,0000,ID1001,赵桂英,女,59,95166583067395,17183987301
DOC10010008,MSDATA,0000,ID1001,郭桂英,女,29,76143820901014,19794938086
DOC10010009,MSDATA,0000,ID1001,高军,女,42,96831926041734,19528052926
DOC10010010,MSDATA,0000,ID1001,周平,女,56,65268581398503,17537942856
DOC10010011,MSDATA,0000,ID1001,赵志强,男,40,59618220259249,19333007963
DOC10010012,MSDATA,0000,ID1001,陈亮,女,29,44055358981950,16259034498
DOC10010013,MSDATA,0000,ID1001,赵芳,女,39,17030573010010,17627383204
DOC10010014,MSDATA,0000,ID1001,郑志强,男,49,66673527683402,17284750723
DOC10010015,MSDATA,0000,ID1001,唐伟,女,37,67201885106327,18821094862
DOC10010016,MSDATA,0000,ID1001,赵明,男,38,97021159749436,17863297293
DOC10010017,MSDATA,0000,ID1001,马琳,女,56,39354481273324,14762970733
DOC10010018,MSDATA,0000,ID1001,吴超,男,36,30233197144100,19594429339
DOC10010019,MSDATA,0000,ID1001,王利,男,47,51340510460659,16142271204
DOC10010020,MSDATA,0000,ID1001,陈桂英,男,31,80664126454141,14670203097
DOC10010021,MSDATA,0000,ID1001,冯艳丽,女,55,74619381544284,15698766322
DOC10010022,MSDATA,0000,ID1001,韩娜,男,25,70353677599194,16588611539
DOC10020001,MSDATA,0000,ID1002,冯飞,男,25,67134930711331,14135560588
DOC10020002,MSDATA,0000,ID1002,郑丽娟,男,42,74500819850331,13926757137
DOC10020003,MSDATA,0000,ID1002,沈慧,男,54,74000263874550,14655099493
DOC10020004,MSDATA,0000,ID1002,郑静,男,32,75888829576224,15536134391
DOC10020005,MSDATA,0000,ID1002,黄梅,男,56,12150249075657,15837607100
DOC10020006,MSDATA,0000,ID1002,马刚,女,30,42417236903338,13272158298
DOC10020007,MSDATA,0000,ID1002,马涛,男,39,80127614910517,19519263217
DOC10020008,MSDATA,0000,ID1002,王梅,男,28,85405632229206,19630953725
DOC10020009,MSDATA,0000,ID1002,徐平,女,27,26662361998072,16783102104
DOC10020010,MSDATA,0000,ID1002,张军,女,33,47039570977530,19600890248
DOC10020011,MSDATA,0000,ID1002,沈彬,男,43,75378756770479,17866858261
DOC10020012,MSDATA,0000,ID1002,周玉华,女,35,53021879255279,19309006755
DOC10020013,MSDATA,0000,ID1002,郭亮,女,46,72206580986237,14812498511
DOC10020014,MSDATA,0000,ID1002,赵洋,男,37,11106458687838,15370081262
DOC10020015,MSDATA,0000,ID1002,冯洋,女,55,40182166531201,18785430904
DOC10020016,MSDATA,0000,ID1002,徐娟,男,46,79033831675456,18270245893
DOC10020017,MSDATA,0000,ID1002,徐静,男,38,57466925636435,15892830858
DOC10020018,MSDATA,0000,ID1002,张艳红,男,51,19673178377705,19564233312
DOC10030001,MSDATA,0000,ID1003,张勇,女,31,65180179158391,18631914498
DOC10030002,MSDATA,0000,ID1003,李军,男,59,44351377923746,17688830318
DOC10030003,MSDATA,0000,ID1003,李飞,女,30,91428461572796,19934764802
DOC10030004,MSDATA,0000,ID1003,吴峰,男,54,61668541952632,17381208226
DOC10030005,MSDATA,0000,ID1003,陈宇,男,58,55302454710598,16338554650
DOC10030006,MSDATA,0000,ID1003,张梅,女,34,60559483581840,13668836414
DOC10030007,MSDATA,0000,ID1003,唐涛,女,56,51891179274316,13638082238
DOC10030008,MSDATA,0000,ID1003,马秀英,女,40,18567254244310,14270182601
DOC10030009,MSDATA,0000,ID1003,沈旭,女,36,65248070715013,18530085782
DOC10030010,MSDATA,0000,ID1003,沈秀英,男,49,63143918089225,18523113352
DOC10030011,MSDATA,0000,ID1003,冯丽丽,男,28,66047696909941,15723724558
DOC10030012,MSDATA,0000,ID1003,高平,女,57,42038332754239,14707553591
DOC10030013,MSDATA,0000,ID1003,王刚,女,55,59326640507972,18461558075
DOC10030014,MSDATA,0000,ID1003,马艳丽,男,27,94335223241405,19846438768
DOC10030015,MSDATA,0000,ID1003,郑军,男,48,47162936379011,15516149392
DOC10030016,MSDATA,0000,ID1003,朱玉华,男,31,93588584782902,18577490973
DOC10030017,MSDATA,0000,ID1003,张建华,女,46,21811913467244,15209831121
DOC10030018,MSDATA,0000,ID1003,郭静,男,30,21103380214197,16678815330
DOC10030019,MSDATA,0000,ID1003,黄梅,女,28,33383539717197,15766807732
DOC10030020,MSDATA,0000,ID1003,唐敏,男,60,94979141237642,14757307791
DOC10030021,MSDATA,0000,ID1003,郭旭,男,25,70637211078135,18694498884
DOC10030022,MSDATA,0000,ID1003,刘鹏,女,38,27441588684105,15658165885
DOC10030023,MSDATA,0000,ID1003,徐彬,男,37,34684490265456,14351439916
DOC10030024,MSDATA,0000,ID1003,马浩,女,50,57380793611633,14507061127
DOC10030025,MSDATA,0000,ID1003,马杰,女,59,90031371558752,18866916890
DOC10040001,MSDATA,0000,ID1004,杨俊,女,50,17445829947598,17483340277
DOC10040002,MSDATA,0000,ID1004,唐琳,女,35,81100379816127,15851841044
DOC10040003,MSDATA,0000,ID1004,冯军,女,37,88930477041753,14779569782
DOC10040004,MSDATA,0000,ID1004,徐娜,女,43,14256271905287,19462186812
DOC10040005,MSDATA,0000,ID1004,李秀英,女,40,51220450860319,17741938883
DOC10040006,MSDATA,0000,ID1004,黄飞,男,58,27764186171242,19510286470
DOC10040007,MSDATA,0000,ID1004,赵建华,女,35,33710073351766,19659516557
DOC10040008,MSDATA,0000,ID1004,韩艳丽,女,25,63632640820221,18743660058
DOC10040009,MSDATA,0000,ID1004,冯琳,女,44,37993273047864,14963360973
DOC10040010,MSDATA,0000,ID1004,王梅,女,44,20741441383763,19409406301
DOC10040011,MSDATA,0000,ID1004,高艳丽,男,26,71712361883396,16622752666
DOC10040012,MSDATA,0000,ID1004,李娟,女,32,74255737727746,19621241762
DOC10040013,MSDATA,0000,ID1004,徐磊,男,30,58099628892883,18837890838
DOC10040014,MSDATA,0000,ID1004,刘慧,男,55,79656368153552,19450300272
DOC10040015,MSDATA,0000,ID1004,韩敏,男,26,22649963110013,15419924964
DOC10040016,MSDATA,0000,ID1004,郑丽娟,女,25,50162244495703,18997009012
DOC10040017,MSDATA,0000,ID1004,朱超,男,43,17710213879406,19425563837
DOC10040018,MSDATA,0000,ID1004,冯秀兰,女,42,86187614624283,17108121500
DOC10040019,MSDATA,0000,ID1004,沈桂英,女,40,53518165555026,13782393552
DOC10040020,MSDATA,0000,ID1004,郑娜,女,38,28350099195783,19599634109
DOC10040021,MSDATA,0000,ID1004,王艳芳,女,59,22839675025444,16897450995
DOC10040022,MSDATA,0000,ID1004,沈俊,男,30,97275469917486,18357908509
DOC10040023,MSDATA,0000,ID1004,王建国,女,27,31505692454816,19457144118
DOC10040024,MSDATA,0000,ID1004,吴静,男,32,96813661742506,16674332826
DOC10040025,MSDATA,0000,ID1004,黄艳芳,男,44,49084933962852,17694812614
DOC10040026,MSDATA,0000,ID1004,徐艳丽,女,25,57951956591460,16548800620
DOC10040027,MSDATA,0000,ID1004,徐超,女,54,17398164682912,16407744248
DOC10040028,MSDATA,0000,ID1004,郑丽丽,女,51,76795557386830,13415820720
DOC10040029,MSDATA,0000,ID1004,冯军,女,28,95919762120817,13548724974
DOC10040030,MSDATA,0000,ID1004,刘涛,女,32,83069636459928,17629788221
